page_name,page_id,vertical,location
CalNeuro Research,832470769955719,Insurance,"Los Angeles, CA"
duniolusegun,492180763974508,Insurance,"Los Angeles, CA"
Service Pros,112483968558415,Insurance,"Los Angeles, CA"
Modesti's Car Care Center,139756566048564,Insurance,"Los Angeles, CA"
Purposeful Strategic Partners,1023280537746263,Insurance,"Los Angeles, CA"
Los Angeles Regional Food Bank,109679290004,Insurance,"Los Angeles, CA"
California Accident Help,869791519547257,Insurance,"Los Angeles, CA"
Globe Life American Income Division Olusegun Organization,110696035076010,Insurance,"Los Angeles, CA"
Invisalign,12349989021,Insurance,"Los Angeles, CA"
Edelson P.C.,125907387426944,Legal Services,"Los Angeles, CA"
United Claims Bureau,108536268305660,Legal Services,"Los Angeles, CA"
Lynch Carpenter LLP,1568395179936536,Legal Services,"Los Angeles, CA"
Quill & Arrow - Personal Injury & Lemon Law Lawyers,238107887068721,Legal Services,"Los Angeles, CA"
Columbia West College,148468538533558,Legal Services,"Los Angeles, CA"
"Seven Law Group, APC - Lemon Law Lawyers",101472166171610,Legal Services,"Los Angeles, CA"
Justice & Compensatiοn,2011962385748625,Legal Services,"Los Angeles, CA"
Injury Advocate Group,103971532437013,Legal Services,"Los Angeles, CA"
Jake Needham Novels,301948476492115,Legal Services,"Los Angeles, CA"
Shine On Community,914497138408598,Legal Services,"Los Angeles, CA"
Jack N' Jill Kids Natural Care,127821130594863,Healthcare/Dental,"Los Angeles, CA"
Dream Team Dental - Eagle Rock,105540159005308,Healthcare/Dental,"Los Angeles, CA"
5D Smiles Dental Implant Center,100526156223036,Healthcare/Dental,"Los Angeles, CA"
"Jon Marashi, DDS",132591886766235,Healthcare/Dental,"Los Angeles, CA"
123 Kids Dentistry,298248346714972,Healthcare/Dental,"Los Angeles, CA"
Kingswell Dentist,1946688285574789,Healthcare/Dental,"Los Angeles, CA"
Selfie smiles Dental,716971091809252,Healthcare/Dental,"Los Angeles, CA"
drkristikim,110319381103636,Healthcare/Dental,"Los Angeles, CA"
jplumbing947,102252226123713,Healthcare/Dental,"Los Angeles, CA"
Socal Dental Academy,755481824322498,Healthcare/Dental,"Los Angeles, CA"
Transcendental Meditation,419360620044,Education,"Los Angeles, CA"
Budapest Film Academy,128016137255364,Education,"Los Angeles, CA"
Purposeful Strategic Partners,1023280537746263,Education,"Los Angeles, CA"
Mindvalley,719853864726295,Education,"Los Angeles, CA"
Activator Methods International,146737737442,Education,"Los Angeles, CA"
International College of Beauty Arts and Sciences,1074166422647897,Education,"Los Angeles, CA"
King Kong Co.,562378543780840,Education,"Los Angeles, CA"
The Stretch Therapist,282330265131026,Education,"Los Angeles, CA"
Motion Science,1157554294278118,Education,"Los Angeles, CA"
Jerusalem Seminary,104404257818040,Education,"Los Angeles, CA"
