vertical,search_name,gmaps_name,phone,website,address,rating,review_count
Real Estate,MIL-Estate Network,Mila Walker Estates,(310) 962-3442,http://www.milaestates.com/,"9320 Wilshire Blvd, Beverly Hills, CA 90212",5.0,2
Real Estate,Keri White Real Estate at Human Element Los Angeles,Keri White,(310) 804-4011,https://keriwhite.com/,"1207 Montana Ave, Santa Monica, CA 90403",5.0,69
Real Estate,Yelp Advertising - Los Angeles,ELA Advertising,(310) 849-5100,http://www.ela1.com/,"1040 N Sycamore Ave, Los Angeles, CA 90038",5.0,1
Mortgage/Lending,Brian Newman,Law Offices of Brian A. Newman,(424) 275-4014,https://defencefirm.com/,"3838 W Carson St Suite 310, Torrance, CA 90503",5.0,3
Mortgage/Lending,The Class Action News,Class,,,"3650 W Martin Luther King Jr Blvd, Los Angeles, CA 90008",,0
Mortgage/Lending,Homesbyart,"Art Home Interiors, Inc.",(323) 263-9755,https://www.arthomeinteriors.net/,"3508 1st St, Los Angeles, CA 90063",4.0,48
Mortgage/Lending,Anywhere Entrepreneur,Entrepreneurs' Organization - Los Angeles Chapter,(310) 447-1234,https://www.eonetwork.org/losangeles,"861 Parkview Dr N #200, El Segundo, CA 90245",,0
Mortgage/Lending,estimatedcashtoclose,Cash It Here Inc,(323) 464-2722,,"6565 Hollywood Blvd, Hollywood, CA 90028",3.5,23
Mortgage/Lending,Erik Avila,Eric Avila,(619) 822-7802,https://ericavilarealtor.com/,"73301 Fred Waring Dr, Palm Desert, CA 92260",5.0,3
Mortgage/Lending,EM Mortgage Note Fund,Fidelity Funding | Hard Money Loans Lender Los Angeles California,(877) 300-3007,https://www.fidelityfundingcorp.com/,"1100 Wilshire Blvd APT 2606, Los Angeles, CA 90017",4.8,24
Mortgage/Lending,Prime Corporate Services,Prime Corporate Services,(855) 577-4639,https://www.primecorporateservices.com/,"5250 S Commerce Dr #200, Murray, UT 84107",4.9,10323
Mortgage/Lending,Cohen Financial Group Los Angeles,Cohen Financial Group - Mortgage Broker,(310) 777-5401,https://www.cohenfinancialgroup.com/,"9665 Wilshire Blvd Suite 260, Beverly Hills, CA 90212",4.9,63
Mortgage/Lending,Michael Sartain,Los Angeles,,http://www.lacity.org/,California,,0
Home Services,Running Plumbing,Running Plumbing Services Inc.,(714) 600-7429,https://runningplumbingservices.com/,,4.7,28
Home Services,Tub N' Crete Coatings,Tub N' Crete Coatings,(949) 775-0354,https://tubncretecoatings.com/,"3962 Seneca Ave, Los Angeles, CA 90039",5.0,29
Home Services,Most Valuable Plumber - Plumbing HVAC Electrical ,Most Valuable Plumber,(818) 390-9944,https://mvp-plumbing.com/?utm_source=GBP&utm_medium=organic,"20338 Corisco St, Chatsworth, CA 91311",4.8,986
Home Services,SODA TV88,Los Angeles,,http://www.lacity.org/,California,,0
Home Services,Growth Cleaning,Top Cleaning Janitorial Services,(424) 269-4686,http://www.tc-janitorial.com/,"7135 Hollywood Blvd, Los Angeles, CA 90046",4.9,54
Home Services,jplumbing947,JPL Plumbing,(818) 716-6910,https://www.jplplumbingcanogapark.com/,,3.8,8
Home Services,Jordan Le,Jordan Flagship Store,(213) 629-8379,,"622 S Broadway, Los Angeles, CA 90014",4.3,101
Home Services,SoDa TV - Short Drama,Soda Creative,(213) 863-9920,http://www.sodacreative.tv/,"953 E 3rd St STE 200, Los Angeles, CA 90013",,0
Home Services,"The Brothers that just do Gutters - Los Angeles, CA",The Brothers That Just Do Gutters,(213) 205-6598,https://los-angeles.brothersgutters.com/,"1940 Highland Ave, Hollywood, CA 90068",5.0,14
Home Services,Alfonso Lopez,Luis Lopez for Assembly,(323) 739-0094,,"1737 Colorado Blvd, Los Angeles, CA 90041",5.0,1
Insurance,Torrance Bariatric Institute,Torrance Bariatric Institute,(310) 326-3066,https://torrancebariatrics.com/,"21250 Hawthorne Blvd #430, Torrance, CA 90503",5.0,367
Insurance,CalNeuro Research,CalNeuro Research Group,(310) 208-7144,https://www.calneuroresearch.com/,"10780 Santa Monica Blvd #470, Los Angeles, CA 90025",4.0,5
Insurance,duniolusegun,Los Angeles,,http://www.lacity.org/,California,,0
Insurance,Service Pros,"Service Pro Restoration, Inc.",(323) 872-8492,https://www.servicepro.la/,"355 S Grand Ave #2450, Los Angeles, CA 90071",,0
Insurance,Modesti's Car Care Center,Modesti's Car Care Center - Best Auto Repair Shop in Culver City Ca,(310) 827-2400,http://www.modestis.com/,"12121 Jefferson Blvd, Culver City, CA 90230",4.9,482
Insurance,Purposeful Strategic Partners,Purposeful Strategic Partners,(213) 267-7840,https://purposefulsp.com/,,,0
Insurance,Los Angeles Regional Food Bank,Los Angeles Regional Food Bank,(323) 234-3030,http://www.lafoodbank.org/,"1734 E 41st St, Los Angeles, CA 90058",4.4,469
Insurance,California Accident Help,i Accident Lawyer,(213) 689-7777,https://iaccidentlawyer.com/los-angeles-car-accident-lawyer/,"155 W Washington Blvd Ste Mezz #102, Los Angeles, CA 90015",5.0,457
Insurance,Globe Life American Income Division Olusegun Organization,Globe Life American Income Division: Olusegun Organization,(301) 664-2103,https://agency.ailife.com/united-states/maryland/bowie/duni-olusegun?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_content=152312145284049,"7401 Forbes Blvd Suite B-1, Lanham, MD 20706",4.9,2192
Insurance,Invisalign,Beverly Hills Orthodontics Downtown LA,(310) 785-0770,https://www.beverlyhillsortho.com/locations/dtla,"740 S Olive St #105, Los Angeles, CA 90014",4.9,49
Legal Services,Edelson P.C.,Edelson PC,(626) 460-0769,https://edelson.com/,"385 E Colorado Blvd Suite 206, Pasadena, CA 91101",,0
Legal Services,United Claims Bureau,California United Law Group,(310) 744-1449,https://calunitedlaw.com/,"453 S Spring St suite 321, Los Angeles, CA 90013",5.0,6
Legal Services,Lynch Carpenter LLP,"Lynch Carpenter, LLP",(412) 322-9243,https://lynchcarpenter.com/,"1133 Penn Ave, Pittsburgh, PA 15222",4.1,9
Legal Services,Quill & Arrow - Personal Injury & Lemon Law Lawyers,Quill Corporation,(972) 462-7762,http://quill.com/,"440 S Royal Ln, Coppell, TX 75019",3.0,22
Legal Services,Columbia West College,Columbia West College,(213) 368-3900,http://www.columbiawestcollege.edu/,"311 S Spring St Suite 300, Los Angeles, CA 90013",4.8,146
Legal Services,"Seven Law Group, APC - Lemon Law Lawyers","Seven Law Group, APC | Lemon Law Attorney",(213) 786-2875,https://sevenlaw.com/?utm_campaign=gmb,"10940 Wilshire Blvd #1400, Los Angeles, CA 90024",4.9,354
Legal Services,Justice & Compensatiοn,Santa Clara County Justice Training Center,(408) 201-7630,https://sheriff.santaclaracounty.gov/bureaus/support-services/training-and-professional-development-division,"701 S Abel St, Milpitas, CA 95035",,0
Legal Services,Injury Advocate Group,"The Injury Law Group, PC",(877) 317-3117,http://accidentdefense.com/,"1901 Ave of the Stars #200, Los Angeles, CA 90067",5.0,373
Legal Services,Jake Needham Novels,Hennessey + Ingalls,(213) 437-2130,http://www.hennesseyingalls.com/,"300 S Santa Fe Ave M, Los Angeles, CA 90013",4.7,196
Legal Services,Shine On Community,SHINE Church LA,(323) 255-7919,https://www.shinela.church/,"6051 Meridian St, Los Angeles, CA 90042",4.5,8
Healthcare/Dental,Jack N' Jill Kids Natural Care,Jack N' Jill Kids US - Natural Toothpaste and Toothbrushes,,https://wellbeingisland.com/collections/jack-n-jill-kids?utm_source=GMB-Jack-n-Jill-USA&utm_medium=organic,"859 E Sepulveda Blvd, Carson, CA 90745",,0
Healthcare/Dental,Dream Team Dental - Eagle Rock,Dream Team Dental - Eagle Rock,(323) 255-1708,http://www.dreamteamdental.com/,"1447 Colorado Blvd, Los Angeles, CA 90041",4.7,63
Healthcare/Dental,5D Smiles Dental Implant Center,5D Smiles Dental Implant Center,(562) 586-4110,https://www.5dsmiles.com/?utm_campaign=gmb,"8500 Florence Ave #100, Downey, CA 90240",4.9,210
Healthcare/Dental,"Jon Marashi, DDS",Dr. Jon Marashi DDS,(310) 820-0300,http://drmarashi.com/,"11777 San Vicente Blvd #521, Los Angeles, CA 90049",5.0,12
Healthcare/Dental,123 Kids Dentistry,123 Kids Dentistry of East LA,(323) 433-0123,https://eastlapediatricdentist.com/,"3845 E 3rd St Suite A, Los Angeles, CA 90063",5.0,102
Healthcare/Dental,Kingswell Dentist,Kingswell Dentist,(323) 245-4592,https://www.kingswelldentist.net/,"4655 Kingswell Ave, Los Angeles, CA 90027",,0
Healthcare/Dental,Selfie smiles Dental,Selfie Smiles Dental Group,(818) 650-8040,https://selfiesmiledental.com/,"15355 Sherman Way P, Van Nuys, CA 91406",4.9,91
Healthcare/Dental,drkristikim,Wilshire Medical Dr. Kristy,,,"4322 Wilshire Blvd #203, Los Angeles, CA 90010",,0
Healthcare/Dental,jplumbing947,JPL Plumbing,(818) 716-6910,https://www.jplplumbingcanogapark.com/,,3.8,8
Healthcare/Dental,Socal Dental Academy,SoCal Dental Academy,(626) 257-5868,https://socaldentalassistantacademy.com/,"2270 E Colorado Blvd, Pasadena, CA 91107",,0
Education,Transcendental Meditation,Transcendental Meditation,(323) 375-4108,https://www.tm.org/en-us/centers/la,"1655 Hillhurst Ave #102, Los Angeles, CA 90027",4.9,38
Education,Budapest Film Academy,NYFA Los Angeles | Main Building,(818) 333-3558,https://www.nyfa.edu/los-angeles/,"3300 W Riverside Dr, Burbank, CA 91505",4.3,100
Education,Purposeful Strategic Partners,Purposeful Strategic Partners,(213) 267-7840,https://purposefulsp.com/,,,0
Education,Mindvalley,Mindvibe,(805) 295-4292,https://www.mindvibe.com/contact/,"1601 Vermont Ave #106, Los Angeles, CA 90006",,0
Education,Activator Methods International,Activator Methods International Ltd,(602) 224-0220,https://www.activator.com/,"3822 E University Dr #5, Phoenix, AZ 85034",3.1,8
Education,International College of Beauty Arts and Sciences,International College of Beauty Arts and Sciences,(818) 280-4898,https://www.icbas.edu/,"5225 W San Fernando Rd, Los Angeles, CA 90039",3.5,29
Education,King Kong Co.,King Creative Co.,(901) 251-0053,https://www.kingcreative.co/,,5.0,1
Education,The Stretch Therapist,Los Angeles Stretch Therapy,(424) 501-5928,,,5.0,5
Education,Motion Science,Academy of Motion Picture Arts and Sciences,(310) 247-3000,http://www.oscars.org/,"PICKFORD CENTER, 1313 Vine St, Los Angeles, CA 90028",4.2,51
Education,Jerusalem Seminary,Jerusalem Seminary,+972 2-567-6500,http://www.jerusalemseminary.org/,"Ha-Nevi'im St 55, Jerusalem, Israel",5.0,2
